dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,mean_true_cos_coarse_top10,mean_true_cos_coarse_top100,min_reranked_for_recall10_p0.8,min_reranked_for_recall100_p0.8,min_reranked_for_recall10_p0.9,min_reranked_for_recall100_p0.9,mean_recall_at_10,mean_recall_at_100,mean_visited_nodes,mean_upper_hops,mean_lower_pops,mean_lower_pushes,mean_num_reranked_candidates,mean_overlap_top10,mean_overlap_top100,mean_num_coarse_candidates
scifact,16,qacos,qacos,128,-1,50,0.47372574303299186,0.3560275591444224,27.2,0.0,20.825,0.0,0.8287500000000001,0.43800000000000017,1073.675,5.5875,101.8375,268.4375,100.0,4.1,43.8,100.0
scifact,16,simhash,simhash_baseline,64,-1,20,0.3888891825918108,0.3000281351502053,13.825,0.0,12.575,0.0,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0
scifact,16,simhash,simhash_baseline,64,-1,50,0.3888891825918108,0.3000281351502053,13.825,0.0,12.575,0.0,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0
scifact,16,simhash,simhash_baseline,128,-1,20,0.4426744027994573,0.33549863649532197,18.9375,0.0,18.475,0.0,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0
scifact,16,simhash,simhash_baseline,128,-1,50,0.4426744027994573,0.33549863649532197,18.9375,0.0,18.475,0.0,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0
scifact,32,qacos,qacos,64,-1,20,0.42002695160917936,0.32143458606733477,19.7125,0.0,18.175,0.0,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0
scifact,32,qacos,qacos,64,-1,50,0.42002695160917936,0.32143458606733477,19.7125,0.0,18.175,0.0,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0
scifact,32,qacos,qacos,128,-1,20,0.4734261123463511,0.3551617354154587,28.4625,0.0,19.675,0.0,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0
scifact,32,qacos,qacos,128,-1,50,0.4734261123463511,0.3551617354154587,28.4625,0.0,19.675,0.0,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0
scifact,32,simhash,simhash_baseline,64,-1,20,0.3859599456191063,0.2979466044998844,14.95,0.0,11.1375,0.0,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0
scifact,32,simhash,simhash_baseline,64,-1,50,0.3859599456191063,0.2979466044998844,14.95,0.0,11.1375,0.0,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0
scifact,32,simhash,simhash_baseline,128,-1,20,0.4417909246403724,0.334134801547043,17.975,0.0,20.2375,0.0,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0
scifact,32,simhash,simhash_baseline,128,-1,50,0.4417909246403724,0.334134801547043,17.975,0.0,20.2375,0.0,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0
